Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
20.02.2024,화,00:00,04:55,04:55,잠,잠,잠,,,,
20.02.2024,화,04:55,04:58,00:03,화장실,생활,화장실,,,,
20.02.2024,화,04:58,05:00,00:02,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
20.02.2024,화,05:00,05:01,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
20.02.2024,화,05:01,05:13,00:12,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
20.02.2024,화,05:13,05:14,00:01,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
20.02.2024,화,05:14,05:35,00:21,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
20.02.2024,화,05:35,05:40,00:05,"이동 준비, 이동 등",생활,이동,,,,
20.02.2024,화,05:40,05:52,00:12,"이동 준비, 이동 등",생활,이동,,,,
20.02.2024,화,05:52,06:09,00:17,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
20.02.2024,화,06:09,06:11,00:02,"이동 준비, 이동 등",생활,이동,,,,
20.02.2024,화,06:11,06:25,00:14,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
20.02.2024,화,06:25,06:29,00:04,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
20.02.2024,화,06:29,06:34,00:05,LEET 추리논증 인터넷 강의 김재형 예복습,,,,,,
20.02.2024,화,06:34,06:37,00:03,책 언어이해의 맛 (김동규),,,,,,
20.02.2024,화,06:37,06:41,00:04,"이동 준비, 이동 등",생활,이동,,,,
20.02.2024,화,06:41,06:48,00:07,책 언어이해의 맛 (김동규),,,,,,
20.02.2024,화,06:48,06:51,00:03,"이동 준비, 이동 등",생활,이동,,,,
20.02.2024,화,06:51,06:53,00:02,책 언어이해의 맛 (김동규),,,,,,
20.02.2024,화,06:53,07:02,00:09,책 뇌과학과 철학 <Neurophilosophy> (Patricia Smith Churchland; 박제윤),,,,,,
20.02.2024,화,07:02,07:07,00:05,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
20.02.2024,화,07:07,07:09,00:02,"이동 준비, 이동 등",생활,이동,,,,
20.02.2024,화,07:09,07:10,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
20.02.2024,화,07:10,07:11,00:01,"이동 준비, 이동 등",생활,이동,,,,
20.02.2024,화,07:11,07:13,00:02,"차 마시기, 준비",,,,,,
20.02.2024,화,07:13,07:14,00:01,"사물함 관련 행정, 정리 등",,,,,,
20.02.2024,화,07:14,07:16,00:02,"이동 준비, 이동 등",생활,이동,,,,
