Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
04.03.2024,월,00:00,05:07,05:07,잠,잠,잠,,,,
04.03.2024,월,05:07,05:11,00:04,화장실,생활,화장실,,,,
04.03.2024,월,05:11,05:13,00:02,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
04.03.2024,월,05:13,05:14,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
04.03.2024,월,05:14,05:25,00:11,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
04.03.2024,월,05:25,05:26,00:01,"공기 청정기 관련 행정, 관리 등",,,,,,
04.03.2024,월,05:26,05:42,00:16,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
04.03.2024,월,05:42,05:45,00:03,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,05:45,05:55,00:10,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,05:55,06:07,00:12,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
04.03.2024,월,06:07,06:08,00:01,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,06:08,06:27,00:19,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
04.03.2024,월,06:27,06:37,00:10,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
04.03.2024,월,06:37,06:40,00:03,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,06:40,06:48,00:08,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
04.03.2024,월,06:48,06:52,00:04,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,06:52,07:02,00:10,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
04.03.2024,월,07:02,07:07,00:05,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,07:07,07:14,00:07,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,07:14,07:15,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
04.03.2024,월,07:15,07:17,00:02,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,07:17,07:19,00:02,"차 마시기, 준비",,,,,,
04.03.2024,월,07:19,07:22,00:03,"사물함 관련 행정, 정리 등",,,,,,
04.03.2024,월,07:22,07:24,00:02,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,07:24,07:43,00:19,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
04.03.2024,월,07:43,08:03,00:20,책 캠벨 생명과학(Campbell etc.),,,,,,
04.03.2024,월,08:03,08:42,00:39,잠,잠,잠,,,,
04.03.2024,월,08:42,09:08,00:26,책 캠벨 생명과학(Campbell etc.),,,,,,
04.03.2024,월,09:08,09:11,00:03,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,09:11,09:59,00:48,책 캠벨 생명과학(Campbell etc.),,,,,,
04.03.2024,월,09:59,10:32,00:33,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
04.03.2024,월,10:32,10:35,00:03,화장실,생활,화장실,,,,
04.03.2024,월,10:35,10:37,00:02,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
04.03.2024,월,10:37,10:38,00:01,"주식, 외화, 코인 가상 화폐 등 투자 업무",,,,,문기옥,
04.03.2024,월,10:38,10:46,00:08,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,10:46,10:53,00:07,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
04.03.2024,월,10:53,11:12,00:19,"이동 준비, 이동 등",생활,이동,,,,
04.03.2024,월,11:12,11:16,00:04,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
04.03.2024,월,11:16,11:24,00:08,"이동 준비, 이동 등",생활,이동,,,,
