Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
22.03.2024,금,00:00,04:52,04:52,잠,잠,잠,,,,
22.03.2024,금,04:52,04:54,00:02,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
22.03.2024,금,04:54,04:55,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
22.03.2024,금,04:55,05:10,00:15,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
22.03.2024,금,05:10,05:13,00:03,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
22.03.2024,금,05:13,05:35,00:22,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
22.03.2024,금,05:35,05:40,00:05,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,05:40,05:56,00:16,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,05:56,06:07,00:11,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
22.03.2024,금,06:07,06:09,00:02,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,06:09,06:29,00:20,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
22.03.2024,금,06:29,06:30,00:01,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,06:30,06:37,00:07,"책 만화로 배우는 민법 판례 120 (손은환, 강지운. 정초희)",,,,,,
22.03.2024,금,06:37,06:40,00:03,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,06:40,06:48,00:08,"책 만화로 배우는 민법 판례 120 (손은환, 강지운. 정초희)",,,,,,
22.03.2024,금,06:48,06:51,00:03,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,06:51,07:00,00:09,"책 만화로 배우는 민법 판례 120 (손은환, 강지운. 정초희)",,,,,,
22.03.2024,금,07:00,07:01,00:01,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,07:01,07:03,00:02,Duolingo 힌디어 (<-영어),,,,,,
22.03.2024,금,07:03,07:08,00:05,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,07:08,07:09,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
22.03.2024,금,07:09,07:10,00:01,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,07:10,07:12,00:02,"차 마시기, 준비",,,,,,
22.03.2024,금,07:12,07:13,00:01,간식,식사,간식,,,,
22.03.2024,금,07:13,07:18,00:05,"사물함 관련 행정, 정리 등",,,,,,
22.03.2024,금,07:18,07:24,00:06,"이동 준비, 이동 등",생활,이동,,,,
22.03.2024,금,07:24,07:29,00:05,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
22.03.2024,금,07:29,08:16,00:47,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
