Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
19.02.2024,월,00:00,04:42,04:42,잠,잠,잠,,,,
19.02.2024,월,04:42,04:46,00:04,화장실,생활,화장실,,,,
19.02.2024,월,04:46,04:49,00:03,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
19.02.2024,월,04:49,04:52,00:03,"요구르트 준비, 먹기, 처리 등",,,,,,
19.02.2024,월,04:52,05:05,00:13,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
19.02.2024,월,05:05,05:10,00:05,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
19.02.2024,월,05:10,05:34,00:24,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
19.02.2024,월,05:34,05:36,00:02,"로션, 바셀린, 연고 등 바르기",,,,,문기옥,
19.02.2024,월,05:36,05:41,00:05,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,05:41,05:56,00:15,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,05:56,06:07,00:11,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
19.02.2024,월,06:07,06:09,00:02,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,06:09,06:28,00:19,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
19.02.2024,월,06:28,06:37,00:09,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
19.02.2024,월,06:37,06:40,00:03,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,06:40,06:49,00:09,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
19.02.2024,월,06:49,06:51,00:02,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,06:51,07:00,00:09,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
19.02.2024,월,07:00,07:10,00:10,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,07:10,07:11,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
19.02.2024,월,07:11,07:12,00:01,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,07:12,07:14,00:02,"차 마시기, 준비",,,,,,
19.02.2024,월,07:14,07:15,00:01,"사물함 관련 행정, 정리 등",,,,,,
19.02.2024,월,07:15,07:17,00:02,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,07:17,07:20,00:03,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
19.02.2024,월,07:20,07:21,00:01,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,07:21,07:23,00:02,"이동 준비, 이동 등",생활,이동,,,,
19.02.2024,월,07:23,07:29,00:06,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
19.02.2024,월,07:29,07:42,00:13,"법학전문대학원 로스쿨 입시, 변호사 시험, 채용 시장 등 정보 획득 등",,,,,문기옥,
19.02.2024,월,07:42,07:47,00:05,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
19.02.2024,월,07:47,08:05,00:18,LEET 언어이해 이원준 수강 등,,,,,,
19.02.2024,월,08:05,08:15,00:10,"시계 설정, 관리 등",,,,,,
19.02.2024,월,08:15,08:23,00:08,LEET 언어이해 이원준 수강 등,,,,,,
19.02.2024,월,08:23,08:24,00:01,LEET 언어이해 이원준 수강 등,,,,,,
