Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
18.03.2024,월,00:00,05:08,05:08,잠,잠,잠,,,,
18.03.2024,월,05:08,05:11,00:03,화장실,생활,화장실,,,,
18.03.2024,월,05:11,05:13,00:02,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
18.03.2024,월,05:13,05:14,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
18.03.2024,월,05:14,05:23,00:09,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
18.03.2024,월,05:23,05:24,00:01,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
18.03.2024,월,05:24,05:40,00:16,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
18.03.2024,월,05:40,05:44,00:04,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,05:44,05:56,00:12,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,05:56,06:07,00:11,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
18.03.2024,월,06:07,06:08,00:01,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,06:08,06:27,00:19,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
18.03.2024,월,06:27,06:28,00:01,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,06:28,06:37,00:09,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,06:37,06:41,00:04,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,06:41,06:49,00:08,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,06:49,06:52,00:03,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,06:52,07:01,00:09,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,07:01,07:07,00:06,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,07:07,07:09,00:02,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
18.03.2024,월,07:09,07:10,00:01,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,07:10,07:11,00:01,"차 마시기, 준비",,,,,,
18.03.2024,월,07:11,07:15,00:04,"사물함 관련 행정, 정리 등",,,,,,
18.03.2024,월,07:15,07:18,00:03,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,07:18,07:31,00:13,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
18.03.2024,월,07:31,08:02,00:31,책 2024학년도 수능연계교재의 국어 어휘,,,,,,
18.03.2024,월,08:02,08:31,00:29,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
18.03.2024,월,08:31,08:34,00:03,화장실,생활,화장실,,,,
18.03.2024,월,08:34,08:41,00:07,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,08:41,09:00,00:19,책 박준범의 합격하는 Quiz 특강,,,,,,
18.03.2024,월,09:00,10:16,01:16,"반도체공학I (김규태 교수님) 수강, 수험, 대기 등",,,,,,
18.03.2024,월,10:16,10:21,00:05,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,10:21,10:24,00:03,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,10:24,10:37,00:13,화장실,생활,화장실,,,,
18.03.2024,월,10:37,10:43,00:06,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,10:43,11:00,00:17,"반도체공학I (김규태 교수님) 수강, 수험, 대기 등",,,,,,
18.03.2024,월,11:00,11:11,00:11,"학자금 대출, 국가장학금 관련 조회, 계산, 탐색",,,,,,
18.03.2024,월,11:11,12:09,00:58,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
18.03.2024,월,12:09,12:15,00:06,Chegg 관련 행정 등,,,,,,
18.03.2024,월,12:15,12:50,00:35,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
18.03.2024,월,12:50,12:53,00:03,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,12:53,13:09,00:16,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
18.03.2024,월,13:09,13:11,00:02,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,13:11,13:16,00:05,양치질,생활,양치질,,,,
18.03.2024,월,13:16,13:17,00:01,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,13:17,13:19,00:02,가글 등,,,,,,
18.03.2024,월,13:19,13:30,00:11,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,13:30,15:37,02:07,LEET 추리논증 인터넷 강의 김재형 수강 등,,,,,,
18.03.2024,월,15:37,15:42,00:05,책 언어이해의 맛 (김동규),,,,,,
18.03.2024,월,15:42,16:02,00:20,졸음,,,,,,
18.03.2024,월,16:02,16:46,00:44,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,16:46,16:49,00:03,화장실,생활,화장실,,,,
18.03.2024,월,16:49,18:00,01:11,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,18:00,18:03,00:03,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,18:03,18:04,00:01,"사물함 관련 행정, 정리 등",,,,,,
18.03.2024,월,18:04,18:05,00:01,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,18:05,18:06,00:01,화장실,생활,화장실,,,,
18.03.2024,월,18:06,18:07,00:01,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
18.03.2024,월,18:07,18:10,00:03,수능 어휘 공부,,,,,,
18.03.2024,월,18:10,18:20,00:10,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
18.03.2024,월,18:20,18:22,00:02,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,18:22,18:25,00:03,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
18.03.2024,월,18:25,18:27,00:02,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,18:27,18:28,00:01,"사물함 관련 행정, 정리 등",,,,,,
18.03.2024,월,18:28,18:33,00:05,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,18:33,18:42,00:09,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,18:42,18:46,00:04,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,18:46,18:54,00:08,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,18:54,18:58,00:04,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,18:58,19:22,00:24,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,19:22,19:23,00:01,"이동 준비, 이동 등",생활,이동,,,,
18.03.2024,월,19:23,19:44,00:21,"책 만화로 배우는 형사소송법 판례 120 (손은환, 강지운. 박지은)",,,,,,
18.03.2024,월,19:44,20:10,00:26,"이동 준비, 이동 등",생활,이동,,,,
