Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
08.03.2024,금,00:00,04:47,04:47,잠,잠,잠,,,,
08.03.2024,금,04:47,04:50,00:03,화장실,생활,화장실,,,,
08.03.2024,금,04:50,04:53,00:03,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
08.03.2024,금,04:53,04:56,00:03,"요구르트 준비, 먹기, 처리 등",,,,,,
08.03.2024,금,04:56,05:06,00:10,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
08.03.2024,금,05:06,05:09,00:03,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
08.03.2024,금,05:09,05:32,00:23,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
08.03.2024,금,05:32,05:36,00:04,"로션, 바셀린, 연고 등 바르기",,,,,문기옥,
08.03.2024,금,05:36,05:39,00:03,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,05:39,05:55,00:16,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,05:55,06:07,00:12,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
08.03.2024,금,06:07,06:08,00:01,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
08.03.2024,금,06:08,06:27,00:19,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
08.03.2024,금,06:27,06:37,00:10,책 박시백 조선왕조실록,,,,,,
08.03.2024,금,06:37,06:40,00:03,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,06:40,06:49,00:09,책 박시백 조선왕조실록,,,,,,
08.03.2024,금,06:49,06:51,00:02,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,06:51,07:01,00:10,책 박시백 조선왕조실록,,,,,,
08.03.2024,금,07:01,07:03,00:02,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,07:03,07:04,00:01,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,07:04,07:09,00:05,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
08.03.2024,금,07:09,07:10,00:01,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,07:10,07:11,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
08.03.2024,금,07:11,07:12,00:01,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,07:12,07:14,00:02,"사물함 관련 행정, 정리 등",,,,,,
08.03.2024,금,07:14,07:16,00:02,"차 마시기, 준비",,,,,,
08.03.2024,금,07:16,07:17,00:01,"사물함 관련 행정, 정리 등",,,,,,
08.03.2024,금,07:17,07:26,00:09,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
08.03.2024,금,07:26,07:28,00:02,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,07:28,07:42,00:14,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
08.03.2024,금,07:42,08:06,00:24,"졸업 관련 조회, 탐색, 판단 등",,,,,,
08.03.2024,금,08:06,08:08,00:02,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
08.03.2024,금,08:08,08:12,00:04,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
08.03.2024,금,08:12,08:21,00:09,"스마트폰, 태블릿 관리, 앱 설치, 설정 등",행정,스마트폰 관리,,,,
08.03.2024,금,08:21,08:34,00:13,LEET 추리논증 인터넷 강의 김재형 수강 등,,,,,,
08.03.2024,금,08:34,08:36,00:02,화장실,생활,화장실,,,,
08.03.2024,금,08:36,08:57,00:21,LEET 추리논증 인터넷 강의 김재형 수강 등,,,,,,
08.03.2024,금,08:57,08:59,00:02,학습 목표/계획 수립/수정,행정,학습 계획,,,,
08.03.2024,금,08:59,09:14,00:15,LEET 추리논증 인터넷 강의 김재형 수강 등,,,,,,
08.03.2024,금,09:14,09:26,00:12,"비일상품 구매, 탐색, 행정 처리",,,,,,이북리더기
08.03.2024,금,09:26,09:49,00:23,LEET 추리논증 인터넷 강의 김재형 수강 등,,,,,,
08.03.2024,금,09:49,10:23,00:34,책 2024학년도 수능연계교재의 국어 어휘,,,,,,
08.03.2024,금,10:23,10:27,00:04,화장실,생활,화장실,,,,
08.03.2024,금,10:27,10:36,00:09,법학적성시험 LEET 언어이해 공부,,,,,문기옥,
08.03.2024,금,10:36,10:57,00:21,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
08.03.2024,금,10:57,11:00,00:03,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
08.03.2024,금,11:00,11:27,00:27,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,11:27,11:44,00:17,서점,,,,,문기옥,
08.03.2024,금,11:44,12:07,00:23,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,12:07,12:08,00:01,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
08.03.2024,금,12:08,12:09,00:01,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,12:09,12:24,00:15,학습 목표/계획 수립/수정,행정,학습 계획,,,,
08.03.2024,금,12:24,12:50,00:26,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
08.03.2024,금,12:50,12:53,00:03,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,12:53,13:05,00:12,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
08.03.2024,금,13:05,13:07,00:02,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,13:07,13:14,00:07,양치질,생활,양치질,,,,
08.03.2024,금,13:14,13:15,00:01,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,13:15,13:16,00:01,가글 등,,,,,,
08.03.2024,금,13:16,13:18,00:02,"이동 준비, 이동 등",생활,이동,,,,
08.03.2024,금,13:18,13:56,00:38,"Anki 관련 행정, 탐색 등",,,,,,
08.03.2024,금,13:56,14:05,00:09,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
08.03.2024,금,14:05,14:34,00:29,노트북 환경 구축 관리 등,,,,,문기옥,
08.03.2024,금,14:34,14:37,00:03,화장실,생활,화장실,,,,
08.03.2024,금,14:37,14:51,00:14,노트북 환경 구축 관리 등,,,,,문기옥,
08.03.2024,금,14:51,16:06,01:15,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
08.03.2024,금,16:06,16:08,00:02,화장실,생활,화장실,,,,
08.03.2024,금,16:08,16:10,00:02,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
08.03.2024,금,16:10,16:17,00:07,"학자금 대출, 국가장학금 관련 조회, 계산, 탐색",,,,,,
08.03.2024,금,16:17,16:53,00:36,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
08.03.2024,금,16:53,17:16,00:23,나무 위키 서핑,,,,,,허경영
08.03.2024,금,17:16,17:34,00:18,나무 위키 서핑,,,,,,나이브 부켈레
08.03.2024,금,17:34,17:48,00:14,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
08.03.2024,금,17:48,17:50,00:02,화장실,생활,화장실,,,,
