Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
24.03.2024,일,00:00,05:12,05:12,잠,잠,잠,,,,
24.03.2024,일,05:12,05:15,00:03,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
24.03.2024,일,05:15,05:16,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
24.03.2024,일,05:16,05:27,00:11,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
24.03.2024,일,05:27,05:47,00:20,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
24.03.2024,일,05:47,05:49,00:02,면도,,,,,,
24.03.2024,일,05:49,05:53,00:04,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,05:53,06:07,00:14,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,06:07,06:09,00:02,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
24.03.2024,일,06:09,06:12,00:03,Duolingo 힌디어 (<-영어),,,,,,
24.03.2024,일,06:12,06:17,00:05,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
24.03.2024,일,06:17,06:23,00:06,Duolingo 히브리어 (<-영어),공부,히브리어,,,,
24.03.2024,일,06:23,06:41,00:18,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,06:41,08:18,01:37,"주일 1부 아침 예배, 준비",,,,,,
24.03.2024,일,08:18,08:37,00:19,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,08:37,08:46,00:09,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
24.03.2024,일,08:46,08:49,00:03,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,08:49,09:10,00:21,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
24.03.2024,일,09:10,09:11,00:01,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,09:11,09:13,00:02,책 만화로 배우는 형법 판례 150 (pmg 법률연구소. 김영란),,,,,,
24.03.2024,일,09:13,09:17,00:04,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,09:17,09:28,00:11,책 만화로 배우는 형법 판례 150 (pmg 법률연구소. 김영란),,,,,,
24.03.2024,일,09:28,09:32,00:04,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,09:32,09:39,00:07,책 만화로 배우는 형법 판례 150 (pmg 법률연구소. 김영란),,,,,,
24.03.2024,일,09:39,09:47,00:08,"일상 계획, 일정 조정, 기록, 수정, 조회, 일일 예결산 등",행정,"일상 계획, 조정, 결산",,,,
24.03.2024,일,09:47,09:49,00:02,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,09:49,09:50,00:01,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
24.03.2024,일,09:50,09:57,00:07,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,09:57,09:58,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
24.03.2024,일,09:58,09:59,00:01,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,09:59,10:00,00:01,"차 마시기, 준비",,,,,,
24.03.2024,일,10:00,10:03,00:03,"사물함 관련 행정, 정리 등",,,,,,
24.03.2024,일,10:03,10:07,00:04,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,10:07,10:09,00:02,화장실,생활,화장실,,,,
24.03.2024,일,10:09,10:14,00:05,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
24.03.2024,일,10:14,10:17,00:03,"일상 계획, 일정 조정, 기록, 수정, 조회, 일일 예결산 등",행정,"일상 계획, 조정, 결산",,,,
24.03.2024,일,10:17,10:30,00:13,"모의고사 접수, 관리 등 행정",,,,,,
24.03.2024,일,10:30,10:36,00:06,법학적성시험 LEET 언어이해 공부,,,,,문기옥,
24.03.2024,일,10:36,10:37,00:01,"일상 계획, 일정 조정, 기록, 수정, 조회, 일일 예결산 등",행정,"일상 계획, 조정, 결산",,,,
24.03.2024,일,10:37,10:38,00:01,"스마트폰, 태블릿 관리, 앱 설치, 설정 등",행정,스마트폰 관리,,,,
24.03.2024,일,10:38,11:21,00:43,법학적성시험 LEET 언어이해 공부,,,,,문기옥,
24.03.2024,일,11:21,11:24,00:03,책 너를 국어1등급으로 만들어주마 독서편 (김범준),,,,,,
24.03.2024,일,11:24,11:38,00:14,LEET 추리논증 인터넷 강의 김재형 수강 등,,,,,,
24.03.2024,일,11:38,11:41,00:03,"모의고사 접수, 관리 등 행정",,,,,,
24.03.2024,일,11:41,11:42,00:01,"이동 준비, 이동 등",생활,이동,,,,
24.03.2024,일,11:42,11:43,00:01,전화 준비 및 실행,행정,전화,,,,
24.03.2024,일,11:43,11:46,00:03,"이동 준비, 이동 등",생활,이동,,,,
